X,Y,Latitude,Longitude,dT,z
3406281.32,508944.42,30.7772411,114.0934381,-1.047126834,-85
3406280.03,508943.67,30.7772295,114.0934303,-1.014000012,-85
3406278.73,508942.91,30.7772178,114.0934223,-0.98185857,-85
3406277.45,508942.14,30.7772062,114.0934143,-0.950645778,-85
3406276.15,508941.4,30.7771945,114.0934065,-0.918576992,-85
3406274.85,508940.64,30.7771828,114.0933986,-0.887619974,-85
3406273.55,508939.89,30.7771711,114.0933907,-0.857005122,-85
3406272.27,508939.12,30.7771595,114.0933827,-0.827099147,-85
3406270.97,508938.38,30.7771478,114.0933749,-0.797599331,-85
3406269.67,508937.61,30.7771361,114.0933669,-0.768857181,-85
3406268.38,508936.86,30.7771245,114.093359,-0.73987973,-85
3406267.09,508936.09,30.7771128,114.093351,-0.710805032,-85
3406265.79,508935.33,30.7771011,114.093343,-0.682145023,-85
3406264.5,508934.56,30.7770895,114.093335,-0.653320504,-85
3406263.2,508933.79,30.7770778,114.0933269,-0.623438097,-85
3406261.91,508933.02,30.7770661,114.0933189,-0.593558011,-85
3406260.63,508932.26,30.7770546,114.0933109,-0.563570879,-85
3406259.33,508931.5,30.7770429,114.093303,-0.532312555,-85
3406258.05,508930.75,30.7770313,114.0932951,-0.500838814,-85
3406256.76,508929.97,30.7770197,114.093287,-0.468160107,-85
3406255.46,508929.22,30.777008,114.0932791,-0.434339046,-85
3406254.16,508928.45,30.7769963,114.0932711,-0.400044082,-85
3406252.88,508927.69,30.7769847,114.0932631,-0.366461189,-85
3406251.57,508926.93,30.7769729,114.0932551,-0.332106706,-85
3406250.27,508926.17,30.7769612,114.0932472,-0.29802276,-85
3406248.97,508925.41,30.7769495,114.0932393,-0.264567854,-85
3406247.69,508924.66,30.7769379,114.0932314,-0.232775533,-85
3406246.4,508923.89,30.7769263,114.0932234,-0.20155854,-85
3406245.1,508923.12,30.7769146,114.0932153,-0.170913641,-85
3406243.8,508922.37,30.7769029,114.0932074,-0.141799781,-85
3406242.51,508921.6,30.7768912,114.0931994,-0.114240667,-85
3406241.21,508920.85,30.7768795,114.0931915,-0.08850985,-85
3406239.92,508920.09,30.7768679,114.0931836,-0.06491262,-85
3406238.63,508919.34,30.7768563,114.0931757,-0.043643038,-85
3406237.34,508918.57,30.7768446,114.0931677,-0.024182267,-85
3406236.06,508917.82,30.7768331,114.0931598,-0.006989753,-85
3406234.76,508917.06,30.7768214,114.0931519,0.008191681,-85
3406233.47,508916.3,30.7768097,114.0931439,0.021067478,-85
3406232.18,508915.54,30.7767981,114.093136,0.031706174,-85
3406230.88,508914.79,30.7767864,114.0931282,0.040374256,-85
3406229.59,508914.04,30.7767748,114.0931203,0.047036619,-85
3406228.3,508913.27,30.7767631,114.0931123,0.052131947,-85
3406227.01,508912.51,30.7767515,114.0931043,0.055542686,-85
3406225.71,508911.75,30.7767398,114.0930963,0.057628962,-85
3406224.43,508910.98,30.7767282,114.0930883,0.05883655,-85
3406223.14,508910.2,30.7767166,114.0930801,0.059181293,-85
3406221.85,508909.43,30.776705,114.0930721,0.058827991,-85
3406220.57,508908.67,30.7766934,114.0930641,0.058111494,-85
3406219.28,508907.9,30.7766818,114.0930561,0.057216954,-85
3406217.99,508907.15,30.7766702,114.0930482,0.056335402,-85
3406216.71,508906.4,30.7766586,114.0930404,0.055700845,-85
3406215.42,508905.65,30.776647,114.0930325,0.055276764,-85
3406214.14,508904.89,30.7766355,114.0930246,0.055474715,-85
3406212.86,508904.15,30.7766239,114.0930168,0.056392215,-85
3406211.56,508903.39,30.7766122,114.0930089,0.05796548,-85
3406210.27,508902.63,30.7766006,114.0930009,0.060239087,-85
3406208.99,508901.86,30.776589,114.0929929,0.063635437,-85
3406207.69,508901.1,30.7765773,114.0929849,0.06805296,-85
3406206.4,508900.33,30.7765657,114.0929769,0.073240592,-85
3406203.82,508898.82,30.7765424,114.0929611,0.086024198,-85
3406202.52,508898.07,30.7765307,114.0929532,0.093615954,-85
3406201.22,508897.31,30.776519,114.0929453,0.101851567,-85
3406199.92,508896.56,30.7765073,114.0929374,0.11034758,-85
3406198.64,508895.81,30.7764957,114.0929296,0.119186046,-85
3406197.33,508895.06,30.7764839,114.0929217,0.128389645,-85
3406196.03,508894.3,30.7764722,114.0929138,0.13775279,-85
3406194.73,508893.54,30.7764605,114.0929059,0.147116576,-85
3406193.42,508892.79,30.7764487,114.092898,0.156169015,-85
3406192.13,508892.03,30.776437,114.0928901,0.164777955,-85
3406190.83,508891.28,30.7764253,114.0928822,0.172857164,-85
3406189.53,508890.52,30.7764136,114.0928743,0.180839916,-85
3406188.22,508889.76,30.7764018,114.0928663,0.188395749,-85
3406186.92,508888.99,30.7763901,114.0928583,0.195381871,-85
3406185.63,508888.22,30.7763784,114.0928502,0.201655856,-85
3406184.33,508887.45,30.7763667,114.0928421,0.207173271,-85
3406183.03,508886.67,30.776355,114.092834,0.212011123,-85
3406181.73,508885.91,30.7763433,114.092826,0.215941054,-85
3406180.44,508885.14,30.7763316,114.092818,0.219255897,-85
3406179.15,508884.38,30.77632,114.09281,0.221610063,-85
3406177.84,508883.61,30.7763082,114.092802,0.223126685,-85
3406176.55,508882.85,30.7762966,114.092794,0.224087487,-85
3406175.24,508882.08,30.7762848,114.092786,0.224288641,-85
3406173.96,508881.32,30.7762732,114.092778,0.223528339,-85
3406172.66,508880.55,30.7762615,114.09277,0.221823238,-85
3406171.36,508879.79,30.7762498,114.092762,0.21944894,-85
3406170.08,508879.01,30.7762382,114.0927539,0.216777201,-85
3406168.78,508878.26,30.7762265,114.092746,0.213121118,-85
3406166.2,508876.73,30.7762033,114.09273,0.203307984,-85
3406164.92,508875.97,30.7761917,114.092722,0.197392268,-85
3406163.64,508875.2,30.7761802,114.092714,0.190780001,-85
3406162.34,508874.44,30.7761685,114.092706,0.183082619,-85
3406161.06,508873.67,30.7761569,114.092698,0.174416492,-85
3406159.76,508872.91,30.7761452,114.09269,0.164907093,-85
3406158.47,508872.14,30.7761336,114.092682,0.154990339,-85
3406157.18,508871.39,30.7761219,114.0926741,0.144673843,-85
3406155.89,508870.62,30.7761103,114.0926661,0.13375233,-85
3406154.59,508869.86,30.7760986,114.0926581,0.122342587,-85
3406153.3,508869.09,30.776087,114.0926501,0.111086476,-85
3406152.02,508868.32,30.7760754,114.092642,0.100354033,-85
3406150.72,508867.55,30.7760637,114.092634,0.090025897,-85
3406149.42,508866.79,30.776052,114.092626,0.080955684,-85
3406148.14,508866.02,30.7760404,114.092618,0.073778989,-85
3406146.84,508865.26,30.7760287,114.09261,0.068143384,-85
3406145.55,508864.5,30.7760171,114.0926021,0.064361859,-85
3406144.26,508863.75,30.7760055,114.0925942,0.062682824,-85
3406142.97,508862.98,30.7759938,114.0925862,0.063867876,-85
3406141.67,508862.22,30.7759821,114.0925782,0.06770917,-85
3406140.38,508861.47,30.7759705,114.0925704,0.073422502,-85
3406139.08,508860.71,30.7759588,114.0925624,0.081026121,-85
3406137.8,508859.95,30.7759472,114.0925545,0.091466394,-85
3406136.5,508859.19,30.7759355,114.0925465,0.104360276,-85
3406135.2,508858.43,30.7759238,114.0925386,0.119002131,-85
3406133.9,508857.68,30.7759121,114.0925307,0.135192326,-85
3406132.62,508856.92,30.7759005,114.0925228,0.152951308,-85
3406131.32,508856.17,30.7758888,114.0925149,0.172289491,-85
3406130.03,508855.4,30.7758772,114.0925069,0.193272555,-85
3406128.74,508854.65,30.7758655,114.092499,0.215437636,-85
3406127.45,508853.88,30.7758539,114.092491,0.239307741,-85
3406126.15,508853.12,30.7758422,114.092483,0.264573773,-85
3406124.86,508852.35,30.7758306,114.092475,0.291220592,-85
3406123.57,508851.59,30.7758189,114.092467,0.318549576,-85
3406122.27,508850.82,30.7758072,114.092459,0.34665268,-85
3406120.97,508850.06,30.7757955,114.092451,0.375775275,-85
3406119.67,508849.3,30.7757838,114.0924431,0.4060156,-85
3406118.38,508848.56,30.7757721,114.0924353,0.43643701,-85
3406117.07,508847.81,30.7757603,114.0924275,0.467368778,-85
3406115.78,508847.05,30.7757487,114.0924195,0.498134886,-85
3406114.47,508846.29,30.7757369,114.0924116,0.529079621,-85
3406113.17,508845.54,30.7757252,114.0924037,0.559536307,-85
3406111.89,508844.78,30.7757136,114.0923958,0.589269498,-85
3406110.58,508844.02,30.7757018,114.0923878,0.618459968,-85
3406109.29,508843.26,30.7756902,114.0923799,0.646651998,-85
3406107.99,508842.51,30.7756785,114.092372,0.673341322,-85
3406106.71,508841.74,30.7756669,114.092364,0.698834148,-85
3406105.41,508840.98,30.7756552,114.092356,0.722420808,-85
3406104.11,508840.21,30.7756435,114.092348,0.744459452,-85
3406102.8,508839.45,30.7756317,114.09234,0.764400319,-85
3406101.5,508838.69,30.77562,114.0923321,0.782126015,-85
3406100.21,508837.92,30.7756083,114.092324,0.79761695,-85
3406098.92,508837.15,30.7755967,114.092316,0.810783078,-85
3406097.62,508836.39,30.775585,114.092308,0.821700294,-85
3406096.34,508835.63,30.7755734,114.0923,0.830822251,-85
3406095.05,508834.87,30.7755618,114.0922921,0.836769617,-85
3406093.77,508834.12,30.7755503,114.0922843,0.839677139,-85
3406092.53,508833.39,30.7755391,114.0922766,0.840214782,-85
3406091.3,508832.67,30.775528,114.0922691,0.838637763,-85
3406090.1,508831.96,30.7755172,114.0922617,0.83502104,-85
