X,Y,Latitude,Longitude,z,dT
3406267.09,508936.09,30.7771128,114.093351,-85,-0.710805032
3406265.79,508935.33,30.7771011,114.093343,-85,-0.682145023
3406264.5,508934.56,30.7770895,114.093335,-85,-0.653320504
3406263.2,508933.79,30.7770778,114.0933269,-85,-0.623438097
3406261.91,508933.02,30.7770661,114.0933189,-85,-0.593558011
3406260.63,508932.26,30.7770546,114.0933109,-85,-0.563570879
3406259.33,508931.5,30.7770429,114.093303,-85,-0.532312555
3406258.05,508930.75,30.7770313,114.0932951,-85,-0.500838814
3406256.76,508929.97,30.7770197,114.093287,-85,-0.468160107
3406255.46,508929.22,30.777008,114.0932791,-85,-0.434339046
3406254.16,508928.45,30.7769963,114.0932711,-85,-0.400044082
3406252.88,508927.69,30.7769847,114.0932631,-85,-0.366461189
3406251.57,508926.93,30.7769729,114.0932551,-85,-0.332106706
3406250.27,508926.17,30.7769612,114.0932472,-85,-0.29802276
3406248.97,508925.41,30.7769495,114.0932393,-85,-0.264567854
3406247.69,508924.66,30.7769379,114.0932314,-85,-0.232775533
3406246.4,508923.89,30.7769263,114.0932234,-85,-0.20155854
3406245.1,508923.12,30.7769146,114.0932153,-85,-0.170913641
3406243.8,508922.37,30.7769029,114.0932074,-85,-0.141799781
3406242.51,508921.6,30.7768912,114.0931994,-85,-0.114240667
3406241.21,508920.85,30.7768795,114.0931915,-85,-0.08850985
3406239.92,508920.09,30.7768679,114.0931836,-85,-0.06491262
3406238.63,508919.34,30.7768563,114.0931757,-85,-0.043643038
3406237.34,508918.57,30.7768446,114.0931677,-85,-0.024182267
3406236.06,508917.82,30.7768331,114.0931598,-85,-0.006989753
3406234.76,508917.06,30.7768214,114.0931519,-85,0.008191681
3406233.47,508916.3,30.7768097,114.0931439,-85,0.021067478
3406232.18,508915.54,30.7767981,114.093136,-85,0.031706174
3406230.88,508914.79,30.7767864,114.0931282,-85,0.040374256
3406229.59,508914.04,30.7767748,114.0931203,-85,0.047036619
3406228.3,508913.27,30.7767631,114.0931123,-85,0.052131947
3406227.01,508912.51,30.7767515,114.0931043,-85,0.055542686
3406225.71,508911.75,30.7767398,114.0930963,-85,0.057628962
3406224.43,508910.98,30.7767282,114.0930883,-85,0.05883655
3406223.14,508910.2,30.7767166,114.0930801,-85,0.059181293
3406221.85,508909.43,30.776705,114.0930721,-85,0.058827991
3406220.57,508908.67,30.7766934,114.0930641,-85,0.058111494
3406219.28,508907.9,30.7766818,114.0930561,-85,0.057216954
3406217.99,508907.15,30.7766702,114.0930482,-85,0.056335402
3406216.71,508906.4,30.7766586,114.0930404,-85,0.055700845
3406215.42,508905.65,30.776647,114.0930325,-85,0.055276764
3406214.14,508904.89,30.7766355,114.0930246,-85,0.055474715
3406212.86,508904.15,30.7766239,114.0930168,-85,0.056392215
3406211.56,508903.39,30.7766122,114.0930089,-85,0.05796548
3406210.27,508902.63,30.7766006,114.0930009,-85,0.060239087
3406208.99,508901.86,30.776589,114.0929929,-85,0.063635437
3406207.69,508901.1,30.7765773,114.0929849,-85,0.06805296
3406206.4,508900.33,30.7765657,114.0929769,-85,0.073240592
3406205.1,508899.58,30.776554,114.092969,-85,0.07920392
3406203.82,508898.82,30.7765424,114.0929611,-85,0.086024198
3406202.52,508898.07,30.7765307,114.0929532,-85,0.093615954
3406201.22,508897.31,30.776519,114.0929453,-85,0.101851567
3406199.92,508896.56,30.7765073,114.0929374,-85,0.11034758
3406198.64,508895.81,30.7764957,114.0929296,-85,0.119186046
3406197.33,508895.06,30.7764839,114.0929217,-85,0.128389645
3406196.03,508894.3,30.7764722,114.0929138,-85,0.13775279
3406194.73,508893.54,30.7764605,114.0929059,-85,0.147116576
3406193.42,508892.79,30.7764487,114.092898,-85,0.156169015
3406192.13,508892.03,30.776437,114.0928901,-85,0.164777955
3406190.83,508891.28,30.7764253,114.0928822,-85,0.172857164
3406189.53,508890.52,30.7764136,114.0928743,-85,0.180839916
3406188.22,508889.76,30.7764018,114.0928663,-85,0.188395749
3406186.92,508888.99,30.7763901,114.0928583,-85,0.195381871
3406185.63,508888.22,30.7763784,114.0928502,-85,0.201655856
3406184.33,508887.45,30.7763667,114.0928421,-85,0.207173271
3406183.03,508886.67,30.776355,114.092834,-85,0.212011123
3406181.73,508885.91,30.7763433,114.092826,-85,0.215941054
3406180.44,508885.14,30.7763316,114.092818,-85,0.219255897
3406179.15,508884.38,30.77632,114.09281,-85,0.221610063
3406177.84,508883.61,30.7763082,114.092802,-85,0.223126685
3406176.55,508882.85,30.7762966,114.092794,-85,0.224087487
3406175.24,508882.08,30.7762848,114.092786,-85,0.224288641
3406173.96,508881.32,30.7762732,114.092778,-85,0.223528339
3406172.66,508880.55,30.7762615,114.09277,-85,0.221823238
3406171.36,508879.79,30.7762498,114.092762,-85,0.21944894
3406170.08,508879.01,30.7762382,114.0927539,-85,0.216777201
3406168.78,508878.26,30.7762265,114.092746,-85,0.213121118
3406167.5,508877.49,30.776215,114.092738,-85,0.208659902
3406166.2,508876.73,30.7762033,114.09273,-85,0.203307984
3406164.92,508875.97,30.7761917,114.092722,-85,0.197392268
3406163.64,508875.2,30.7761802,114.092714,-85,0.190780001
3406162.34,508874.44,30.7761685,114.092706,-85,0.183082619
3406161.06,508873.67,30.7761569,114.092698,-85,0.174416492
3406159.76,508872.91,30.7761452,114.09269,-85,0.164907093
3406158.47,508872.14,30.7761336,114.092682,-85,0.154990339
3406157.18,508871.39,30.7761219,114.0926741,-85,0.144673843
3406155.89,508870.62,30.7761103,114.0926661,-85,0.13375233
3406154.59,508869.86,30.7760986,114.0926581,-85,0.122342587
3406153.3,508869.09,30.776087,114.0926501,-85,0.111086476
3406152.02,508868.32,30.7760754,114.092642,-85,0.100354033
3406150.72,508867.55,30.7760637,114.092634,-85,0.090025897
3406149.42,508866.79,30.776052,114.092626,-85,0.080955684
3406148.14,508866.02,30.7760404,114.092618,-85,0.073778989
3406146.84,508865.26,30.7760287,114.09261,-85,0.068143384
3406145.55,508864.5,30.7760171,114.0926021,-85,0.064361859
3406144.26,508863.75,30.7760055,114.0925942,-85,0.062682824
3406142.97,508862.98,30.7759938,114.0925862,-85,0.063867876
3406141.67,508862.22,30.7759821,114.0925782,-85,0.06770917
3406140.38,508861.47,30.7759705,114.0925704,-85,0.073422502
3406139.08,508860.71,30.7759588,114.0925624,-85,0.081026121
3406137.8,508859.95,30.7759472,114.0925545,-85,0.091466394
3406136.5,508859.19,30.7759355,114.0925465,-85,0.104360276
